date,building,gallons
2026-05-02,Gym,4800
2026-05-02,Cafeteria,2840
2026-05-05,Main Building,5351.4
2026-05-05,Gym,1840.5
2026-05-05,Cafeteria,2985.3
2026-05-06,Main Building,5516.4
2026-05-06,Gym,2058
2026-05-06,Cafeteria,2839.4
2026-05-07,Main Building,5272
2026-05-07,Gym,1853
2026-05-07,Cafeteria,2558.5
2026-05-08,Main Building,5369.5
2026-05-08,Gym,1973.2
2026-05-08,Cafeteria,2824.6
2026-05-09,Main Building,5109.2
2026-05-09,Gym,1776.9
2026-05-09,Cafeteria,2639.8
2026-05-12,Main Building,5530
2026-05-12,Gym,2004.2
2026-05-12,Cafeteria,2608.9
2026-05-13,Main Building,5296.7
2026-05-13,Gym,1740
2026-05-13,Cafeteria,2851.3
2026-05-14,Main Building,5679.8
2026-05-14,Gym,1971.3
2026-05-14,Cafeteria,2844.2
2026-05-15,Main Building,5218.6
2026-05-15,Gym,1727
2026-05-15,Cafeteria,2741.3
2026-05-16,Main Building,5532.1
2026-05-16,Gym,1859.7
2026-05-16,Cafeteria,2758.9
2026-05-19,Main Building,5051.3
2026-05-19,Gym,1908.6
2026-05-19,Cafeteria,2533.7
2026-05-20,Main Building,5187.5
2026-05-20,Gym,2038.9
2026-05-20,Cafeteria,2825
2026-05-21,Main Building,4701.6
2026-05-21,Gym,1778.2
2026-05-21,Cafeteria,2967.2
2026-05-22,Main Building,4866.4
2026-05-22,Gym,1976.7
2026-05-22,Cafeteria,2539.1
2026-05-23,Main Building,5141.8
2026-05-23,Gym,1860.9
2026-05-23,Cafeteria,2855.6
2026-05-26,Main Building,5163.8
2026-05-26,Gym,2070
2026-05-26,Cafeteria,2962.1
2026-05-27,Main Building,5633.5
2026-05-27,Gym,1896.4
2026-05-27,Cafeteria,3058.5
2026-05-28,Main Building,5469.7
2026-05-28,Gym,1984.2
2026-05-28,Cafeteria,2978.5
2026-05-29,Main Building,5183.5
2026-05-29,Gym,1953.7
2026-05-29,Cafeteria,2746.3
2026-05-30,Main Building,4857
2026-05-30,Gym,1737
2026-05-30,Cafeteria,2886.3
2026-06-02,Main Building,5190.9
2026-06-02,Gym,1815.8
2026-06-02,Cafeteria,2544
2026-06-03,Main Building,5297.1
2026-06-03,Gym,1717.2
2026-06-03,Cafeteria,2898.4
2026-06-04,Main Building,5602.6
2026-06-04,Gym,1908.7
2026-06-04,Cafeteria,2948.6
2026-06-05,Main Building,5510.2
2026-06-05,Gym,1838.4
2026-06-05,Cafeteria,2789.4
2026-06-06,Main Building,5556.9
2026-06-06,Gym,2033.5
2026-06-06,Cafeteria,2676.3
2026-06-09,Main Building,5375.1
2026-06-09,Gym,1789.3
2026-06-09,Cafeteria,2733.7
2026-06-10,Main Building,4765.7
2026-06-10,Gym,1824.9
2026-06-10,Cafeteria,2899.3
2026-06-11,Main Building,5685.2
2026-06-11,Gym,1861.9
2026-06-11,Cafeteria,2735.3
2026-06-12,Main Building,4716.4
2026-06-12,Gym,1852.7
2026-06-12,Cafeteria,3019.1
2026-06-13,Main Building,5404.3
2026-06-13,Gym,1852.3
2026-06-13,Cafeteria,2589.3
2026-06-16,Main Building,5060.3
2026-06-16,Gym,1950.9
2026-06-16,Cafeteria,2865.2
2026-06-17,Main Building,5283.1
2026-06-17,Gym,1768.5
2026-06-17,Cafeteria,3045.7
2026-06-18,Main Building,4930.5
2026-06-18,Gym,1992.5
2026-06-18,Cafeteria,2552.4
